No.,Description,HTTP Method,Partial URI,Request Data,Response Data,Success Status Code,Failure Status Code,Associated Use Case,Notes
1,Get user's name from session,GET,/currentUsername,session,currentUsername,Get username succeed: 200 OK,,,
2,Register a user,POST,/users,"username, password",regOrLoginResult,User login: 200 OK; User created: 201 Created,500 Internal Server Error,Join Community,
3,Retrieve all users' information,GET,/users,session,Array of users' information,Retrieve succeed: 200 Ok,500 Internal Server Error,Join Community,
4,Retrieve a user's information,GET,/users/{userName},,User's information,Retrieve succeed: 200 Ok,User not existed: 404 Not Found; Other: 500 Internal Server Error,Join Community,
5,Logout a user,GET,/logout,session,,Logout succeed: 200 OK,Destroy session error: 500 Internal Server Error,Join Community,
6,Post a public message from a user,POST,/messages/public,"session, username, content, timestamp, location",postPublicMessageResult,Post succeed: 200 OK,User not existed or session error: 404 Not Found; Other: 500 Internal Server Error,Chat Publicly,
7,Retrieve all public messages,GET,/messages/public,,Array of public messages,Retrieve succeed: 200 Ok,500 Internal Server Error,Chat Publicly,
8,Retrieve all public messages by a user,GET,/messages/public/{userName},,Array of public messages,Retrieve succeed: 200 Ok,User not existed: 404 Not Found; Other: 500 Internal Server Error,Chat Publicly,
9,Retrieve all announcements,GET,/messages/announcements,,Array of announcements,Retrieve succeed: 200 Ok,500 Internal Server Error,Post Announcement,
10,Post an announcement from a user,POST,/messages/announcements,"session, username, content, timestamp, location",postAnnouncementResult,Post succeed: 200 OK,User not existed or session error: 404 Not Found; Other: 500 Internal Server Error,Post Announcement,
11,Post a private message from sender to receiver,POST,/messages/private,"session, sender, receiver, content, timestamp, location",postPrivateMessageResult,Post succeed: 200 OK,User not existed or session error: 404 Not Found; Other: 500 Internal Server Error,Chat Privately,
12,Retrieve all private messages between two users,GET,/messages/private/{sender}/{receiver},,Array of private messages,Retrieve succeed: 200 Ok,User not existed: 404 Not Found; Other: 500 Internal Server Error,Chat Privately,
13,Set private messages from new to old with given sender and receiver,POST,/messages/private/resetunread,"session, sender, receiver, content, timestamp, location",resetUnreadMessagesResult,Reset succeed: 200 OK,User not existed: 404 Not Found; Other: 500 Internal Server Error,Chat Privately,
14,Post a status for a user,POST,/status,"session, username, status_code, timestamp, location",postStatusResult,Post succeed: 200 OK,User not existed or session error: 404 Not Found; Other: 500 Internal Server Error,Share Status,
15,Retrieve status from a user,GET,/status/{username},,User's status,Retrieve succeed: 200 Ok,User not existed: 404 Not Found; Other: 500 Internal Server Error,Share Status,
